date,open,high,low,close,volume,tic
2022-05-02 08:00,176.91,178.55,176.91,178.55,916.0,AXP
2022-05-02 08:00,149.99,149.99,149.99,149.99,106.0,BA
2022-05-02 08:00,157.8,157.8,157.8,157.8,270.0,CVX
2022-05-02 08:00,180.31,180.31,180.31,180.31,111.0,JNJ
2022-05-02 08:00,64.91,64.91,64.91,64.91,185.0,KO
2022-05-02 08:01,176.91,178.55,176.91,178.55,916.0,AXP
2022-05-02 08:01,149.99,149.99,149.99,149.99,106.0,BA
2022-05-02 08:01,157.8,157.8,157.8,157.8,270.0,CVX
2022-05-02 08:01,180.31,180.31,180.31,180.31,111.0,JNJ
2022-05-02 08:01,64.91,64.91,64.91,64.91,185.0,KO
2022-05-02 08:02,176.91,178.55,176.91,178.55,916.0,AXP
2022-05-02 08:02,149.99,149.99,149.99,149.99,106.0,BA
2022-05-02 08:02,157.8,157.8,157.8,157.8,270.0,CVX
2022-05-02 08:02,180.31,180.31,180.31,180.31,111.0,JNJ
2022-05-02 08:02,64.91,64.91,64.91,64.91,185.0,KO
2022-05-02 08:03,176.91,178.55,176.91,178.55,916.0,AXP
2022-05-02 08:03,149.99,149.99,149.99,149.99,106.0,BA
2022-05-02 08:03,157.8,157.8,157.8,157.8,270.0,CVX
2022-05-02 08:03,180.31,180.31,180.31,180.31,111.0,JNJ
2022-05-02 08:03,64.91,64.91,64.91,64.91,185.0,KO
2022-05-02 08:04,176.91,178.55,176.91,178.55,916.0,AXP
2022-05-02 08:04,149.99,149.99,149.99,149.99,106.0,BA
2022-05-02 08:04,157.8,157.8,157.8,157.8,270.0,CVX
2022-05-02 08:04,180.31,180.31,180.31,180.31,111.0,JNJ
2022-05-02 08:04,64.91,64.91,64.91,64.91,185.0,KO
2022-05-02 08:05,176.91,178.55,176.91,178.55,916.0,AXP
2022-05-02 08:05,149.99,149.99,149.99,149.99,106.0,BA
2022-05-02 08:05,157.8,157.8,157.8,157.8,270.0,CVX
2022-05-02 08:05,180.31,180.31,180.31,180.31,111.0,JNJ
2022-05-02 08:05,64.91,64.91,64.91,64.91,185.0,KO
2022-05-02 08:06,176.91,178.55,176.91,178.55,916.0,AXP
2022-05-02 08:06,149.99,149.99,149.99,149.99,106.0,BA
2022-05-02 08:06,157.8,157.8,157.8,157.8,270.0,CVX
2022-05-02 08:06,180.31,180.31,180.31,180.31,111.0,JNJ
2022-05-02 08:06,64.91,64.91,64.91,64.91,185.0,KO
2022-05-02 08:07,176.91,178.55,176.91,178.55,916.0,AXP
2022-05-02 08:07,149.99,149.99,149.99,149.99,106.0,BA
2022-05-02 08:07,157.0,157.0,157.0,157.0,593.0,CVX
2022-05-02 08:07,180.31,180.31,180.31,180.31,111.0,JNJ
2022-05-02 08:07,64.91,64.91,64.91,64.91,185.0,KO
2022-05-02 08:08,176.91,178.55,176.91,178.55,916.0,AXP
2022-05-02 08:08,149.99,149.99,149.99,149.99,106.0,BA
2022-05-02 08:08,157.0,157.0,157.0,157.0,593.0,CVX
2022-05-02 08:08,180.31,180.31,180.31,180.31,111.0,JNJ
